X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
20.852682,39.66616,0,28ΗΣ ΟΚΤΩΒΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.794905,39.227518,0,111 Π.Μ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.284692,37.922373,0,117 ΠΜ ΜΑΧΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.664088,39.365325,0,KΡΥΟΠΗΓΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.64084,37.939578,0,RSS ΔΘΚΜ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.645626,37.940648,0,RSS ΟΙΚΟΣ ΝΑΥΤΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.637656,37.936331,0,RSS ΠΟΤΑΜΙΑΝΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.606403,38.030283,0,ZEMENO,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.52872,37.954318,0,Α.ΒΕΛΙΤΣΕΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.356636,37.621657,0,Α/Τ ΚΕΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.917985,40.926048,0,ΑΒΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.952676,40.981036,0,ΑΒΔΗΡΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.43263,35.23137,0,ΑΒΔΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.436883,39.602675,0,ΑΒΕΡΩΦ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.144223,36.965255,0,ΑΒΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.941195,37.040794,0,ΑΒΡΑΜΙΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.729307,40.715693,0,ΑΓ ΑΘΑΝΑΣΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.02695,35.23112,0,ΑΓ ΜΥΡΩΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.992398,39.098356,0,ΑΓ ΠΑΡΑΣΚΕΥΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.986418,35.407046,0,ΑΓ ΠΕΛΑΓΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.677219,41.104603,0,ΑΓ ΠΝΕΥΜΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.404083,41.041313,0,ΑΓ. ΘΕΟΔΩΡΟΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.864392,37.831898,0,ΑΓ. ΜΑΡΙΝΑ ΛΑΓΟΝ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.718565,35.189506,0,ΑΓ. ΝΙΚΟΛΑΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.826201,38.011598,0,ΑΓ. ΠΑΡΑΣΚΕΥΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.11522,35.240229,0,ΑΓ. ΣΥΛΛΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.841004,37.597701,0,ΑΓ.ΑΔΡΙΑΝΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
19.718894,39.7233,0,ΑΓ.ΑΘΑΝΑΣΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.366705,39.523636,0,ΑΓ.ΑΝΑΡΓΥΡΩΝ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
